,team,lottery_prop
0,ATL,0.17647058823529413
1,BOS,0.375
2,CLE,0.3125
3,NOP,0.4117647058823529
4,CHI,0.35294117647058826
5,DAL,0.23529411764705882
6,DEN,0.29411764705882354
7,GSW,0.375
8,HOU,0.2
9,LAC,0.1875
10,LAL,0.3125
11,MIA,0.29411764705882354
12,MIL,0.06666666666666667
13,MIN,0.29411764705882354
14,BKN,0.1875
15,NYK,0.26666666666666666
16,ORL,0.375
17,IND,0.4117647058823529
18,PHI,0.11764705882352941
19,PHX,0.5
20,POR,0.29411764705882354
21,SAC,0.47058823529411764
22,SAS,0.29411764705882354
23,OKC,0.35294117647058826
24,TOR,0.23529411764705882
25,UTA,0.4
26,MEM,0.29411764705882354
27,WAS,0.23529411764705882
28,DET,0.5
29,CHA,0.3333333333333333
